# p1 0.1 p2 0.1 r1 0.1 r2 0.1 sigma 1 T 1 b1 1 b2 -1 x0 0 Nt 12 Nth 16 m 12 lambda 1e-07
# Jbar1 4.29579949565 Jbar2 4.29579949565 Jvar1 0.493706762721 Jvar2 0.493706762721
# t Xbar Dbar1 Dbar2 Dbar1_perfect_info
0 2.8398992588e-29 9.93688244716 -9.93688244716 4.64692365239
0.005 -1.02562775293e-16 9.88690268463 -9.88690268464 4.63930783607
0.01 -2.69818966349e-16 9.83695867274 -9.83695867274 4.63162209542
0.015 -5.14228092923e-16 9.78704419278 -9.78704419278 4.62386578465
0.02 -8.41587766028e-16 9.73715405373 -9.73715405373 4.61603825185
0.025 -1.25229911667e-15 9.68728396888 -9.68728396888 4.60813883885
0.03 -1.74248735749e-15 9.6374304434 -9.6374304434 4.60016688118
0.035 -2.30498867916e-15 9.58759067218 -9.58759067218 4.59212170799
0.04 -2.93021408246e-15 9.53776244728 -9.53776244728 4.58400264198
0.045 -3.60690016817e-15 9.48794407423 -9.48794407423 4.57580899933
0.05 -4.32275634899e-15 9.43813429657 -9.43813429657 4.56754008962
0.055 -5.06501741088e-15 9.38833222819 -9.38833222819 4.55919521572
0.06 -5.82090983479e-15 9.33853729259 -9.33853729259 4.55077367379
0.065 -6.5780397928e-15 9.28874916888 -9.28874916888 4.54227475311
0.07 -7.32471025565e-15 9.2389677437 -9.2389677437 4.53369773604
0.075 -8.0501741902e-15 9.18919306886 -9.18919306886 4.52504189794
0.08 -8.74483038534e-15 9.13942532394 -9.13942532394 4.51630650707
0.085 -9.40036802343e-15 9.08966478379 -9.08966478379 4.50749082451
0.09 -1.00098657097e-14 9.03991179015 -9.03991179015 4.49859410406
0.095 -1.05678502851e-14 8.99016672732 -8.99016672732 4.48961559214
0.1 -1.10703203779e-14 8.94043000136 -8.94043000136 4.48055452771
0.105 -1.15147392953e-14 8.89070202252 -8.89070202252 4.47141014219
0.11 -1.19000015165e-14 8.84098319058 -8.84098319058 4.46218165931
0.115 -1.22263767295e-14 8.79127388293 -8.79127388293 4.45286829504
0.12 -1.2495435042e-14 8.74157444484 -8.74157444484 4.4434692575
0.125 -1.27099567059e-14 8.69188518203 -8.69188518203 4.43398374682
0.13 -1.28738294155e-14 8.64220635498 -8.64220635498 4.42441095503
0.135 -1.29919359753e-14 8.59253817498 -8.59253817498 4.41475006598
