# p1 3000 p2 3000 r1 0.1 r2 0.1 sigma 1 T 1 b1 1 b2 -1 x0 0 Nt 12 Nth 16 m 12 lambda 1e-07
# Jbar1 2.19563376963 Jbar2 2.19563376961 Jvar1 0.173040447682 Jvar2 0.173040447686
# t Xbar Dbar1 Dbar2 Dbar1_perfect_info
0 -5.92385236014e-27 4.98266905786 -4.9826690578 4.64692365239
0.005 6.1661633008e-12 4.93883646457 -4.93883646452 4.63930783607
0.01 9.97437134219e-12 4.9046449965 -4.90464499647 4.63162209542
0.015 1.1932965712e-11 4.87810993046 -4.87810993045 4.62386578465
0.02 1.24751822134e-11 4.85754507669 -4.85754507671 4.61603825185
0.025 1.19672986171e-11 4.84152893149 -4.84152893153 4.60813883885
0.03 1.07161149879e-11 4.82887375689 -4.82887375696 4.60016688118
0.035 8.97580797282e-12 4.81859739523 -4.81859739532 4.59212170799
0.04 6.95419853494e-12 4.80989763549 -4.8098976356 4.58400264198
0.045 4.81847077507e-12 4.80212895776 -4.80212895789 4.57580899933
0.05 2.70037770034e-12 4.79478149049 -4.79478149063 4.56754008962
0.055 7.00968077383e-13 4.78746202391 -4.78746202405 4.55919521572
0.06 -1.10513315716e-12 4.77987693107 -4.77987693121 4.55077367379
0.065 -2.66586006361e-12 4.7718168557 -4.77181685584 4.54227475311
0.07 -3.94822713053e-12 4.76314303378 -4.76314303392 4.53369773604
0.075 -4.9352091549e-12 4.75377512279 -4.75377512291 4.52504189794
0.08 -5.62295319994e-12 4.7436804198 -4.74368041991 4.51630650707
0.085 -6.01829765225e-12 4.73286435621 -4.73286435631 4.50749082451
0.09 -6.13657474106e-12 4.72136216324 -4.72136216332 4.49859410406
0.095 -5.99967417486e-12 4.7092316088 -4.70923160887 4.48961559214
0.1 -5.63434679363e-12 4.69654671211 -4.69654671215 4.48055452771
0.105 -5.07072833136e-12 4.68339234805 -4.68339234808 4.47141014219
0.11 -4.34106453314e-12 4.66985965913 -4.66985965914 4.46218165931
0.115 -3.47861997572e-12 4.65604219757 -4.65604219757 4.45286829504
0.12 -2.51675400117e-12 4.64203272574 -4.64203272572 4.4434692575
0.125 -1.48814819081e-12 4.62792060725 -4.62792060721 4.43398374682
0.13 -4.24170782216e-13 4.61378972626 -4.61378972621 4.42441095503
0.135 6.45635632718e-13 4.59971687645 -4.59971687639 4.41475006598
0.14 1.69395589601e-12 4.58577056556 -4.58577056549 4.40500025521
0.145 2.6960054687e-12 4.57201018524 -4.57201018516 4.39516068979
0.15 3.62974610517e-12 4.55848549987 -4.55848549979 4.38523052825
0.155 4.47602432679e-12 4.54523641146 -4.54523641138 4.37520892045
0.16 5.21864225922e-12 4.53229296138 -4.5322929613 4.36509500741
0.165 5.84436968599e-12 4.51967553263 -4.51967553255 4.3548879212
0.17 6.34290549343e-12 4.50739521981 -4.50739521974 4.34458678483
0.175 6.70679603729e-12 4.49545433653 -4.49545433646 4.33419071206
0.18 6.93131734837e-12 4.48384703296 -4.4838470329 4.32369880728
0.185 7.0143275123e-12 4.47255999881 -4.47255999876 4.31311016536
0.19 6.95609500699e-12 4.46157322942 -4.46157322939 4.30242387149
0.195 6.7591082578e-12 4.450860835 -4.45086083498 4.29163900101
0.2 6.42787117638e-12 4.44039187524 -4.44039187523 4.28075461929
0.205 5.96868898119e-12 4.43013120357 -4.43013120357 4.26976978148
0.21 5.38944815722e-12 4.42004030721 -4.42004030723 4.25868353244
0.215 4.69939399674e-12 4.41007813102 -4.41007813106 4.24749490644
0.22 3.90890877264e-12 4.40020187469 -4.40020187474 4.23620292709
0.225 3.02929322888e-12 4.39036775455 -4.39036775461 4.22480660706
0.23 2.0725537294e-12 4.38053172263 -4.38053172271 4.21330494792
0.235 1.05119708505e-12 4.37065013682 -4.37065013691 4.20169693993
0.24 -2.19652211797e-14 4.36068037747 -4.36068037757 4.18998156182
0.245 -1.13400196992e-12 4.35058140662 -4.35058140674 4.17815778059
0.25 -2.27203512039e-12 4.3403142674 -4.34031426753 4.16622455123
0.255 -3.4233997628e-12 4.32984252168 -4.32984252182 4.15418081657
0.26 -4.57579038802e-12 4.3191326254 -4.31913262555 4.14202550694
0.265 -5.71739295831e-12 4.30815424133 -4.30815424148 4.12975754
0.27 -6.83700244946e-12 4.29688049003 -4.2968804902 4.11737582042
0.275 -7.92412570571e-12 4.28528814031 -4.28528814048 4.10487923965
0.28 -8.96906960361e-12 4.27335774085 -4.27335774103 4.09226667559
0.285 -9.96301466109e-12 4.26107369556 -4.26107369573 4.07953699236
0.29 -1.0898074354e-11 4.24842428516 -4.24842428534 4.06668903997
0.295 -1.17673405148e-11 4.23540163831 -4.23540163849 4.05372165399
0.3 -1.25649152875e-11 4.22200165549 -4.22200165566 4.04063365525
0.305 -1.32859301992e-11 4.2082238894 -4.20822388956 4.02742384951
0.31 -1.39265529864e-11 4.19407138568 -4.19407138584 4.01409102707
0.315 -1.44839828755e-11 4.17955048798 -4.17955048813 4.00063396246
0.32 -1.49564350728e-11 4.16467061142 -4.16467061157 3.98705141405
0.325 -1.53431152638e-11 4.14944398863 -4.14944398877 3.97334212364
0.33 -1.56441849539e-11 4.13388539251 -4.13388539264 3.95950481608
0.335 -1.58607185117e-11 4.11801184 -4.11801184011 3.94553819884
0.34 -1.59946527906e-11 4.10184228075 -4.10184228085 3.93144096159
0.345 -1.60487302174e-11 4.085397275 -4.08539727509 3.91721177573
0.35 -1.60264362372e-11 4.06869866439 -4.06869866446 3.90284929394
0.355 -1.59319320014e-11 4.05176923954 -4.05176923961 3.88835214969
0.36 -1.57699831747e-11 4.03463240824 -4.03463240829 3.87371895673
0.365 -1.5545885723e-11 4.01731186738 -4.01731186742 3.85894830857
0.37 -1.52653895208e-11 3.99983128222 -3.99983128224 3.84403877795
0.375 -1.49346205927e-11 3.98221397588 -3.98221397589 3.82898891627
0.38 -1.45600027739e-11 3.96448263197 -3.96448263197 3.81379725301
0.385 -1.41481795396e-11 3.94665901294 -3.94665901293 3.79846229512
0.39 -1.37059367163e-11 3.92876369654 -3.92876369651 3.78298252638
0.395 -1.32401267477e-11 3.91081583246 -3.91081583242 3.76735640679
0.4 -1.27575951453e-11 3.89283292107 -3.89283292102 3.75158237184
0.405 -1.22651097075e-11 3.87483061582 -3.87483061576 3.73565883188
0.41 -1.17692930446e-11 3.85682255058 -3.85682255051 3.71958417131
0.415 -1.12765588967e-11 3.83882019309 -3.83882019301 3.7033567479
0.42 -1.07930526847e-11 3.8208327252 -3.82083272512 3.68697489197
0.425 -1.03245966789e-11 3.80286695056 -3.80286695047 3.67043690562
0.43 -9.87664012276e-12 3.78492722992 -3.78492722983 3.65374106184
0.435 -9.45421459432e-12 3.76701544417 -3.76701544408 3.6368856037
0.44 -9.06189483736e-12 3.74913098486 -3.74913098477 3.61986874341
0.445 -8.70376524295e-12 3.73127077171 -3.73127077162 3.60268866143
0.45 -8.3833921103e-12 3.71342929655 -3.71342929646 3.58534350548
0.455 -8.10380176633e-12 3.69559869264 -3.69559869254 3.56783138958
0.46 -7.86746457411e-12 3.67776882835 -3.67776882827 3.55015039301
0.465 -7.67628481238e-12 3.659927424 -3.65992742392 3.53229855925
0.47 -7.53159636232e-12 3.6420601901 -3.64206019002 3.51427389489
0.475 -7.43416409298e-12 3.62415098568 -3.62415098561 3.49607436852
0.48 -7.38419079418e-12 3.60618199466 -3.60618199459 3.47769790955
0.485 -7.38132946523e-12 3.58813391847 -3.58813391841 3.45914240704
0.49 -7.4247007291e-12 3.56998618281 -3.56998618276 3.44040570844
0.495 -7.51291510629e-12 3.5517171564 -3.55171715635 3.42148561835
0.5 -7.64409984871e-12 3.53330437942 -3.53330437939 3.40237989721
